========================================================================================================================
File Design Information:

Date:       09.09.21
Time:       13:31
Revision:   Not in VersionControl
Variant:    SPI_mode
Units used: mm

Layer       Designator Comment            Description                                                                                                  Footprint                    Center-X(mm) Center-Y(mm) Rotation Ref-X(mm) Ref-Y(mm) 
TopLayer    VTUNE      Testpoint          Testpoint                                                                                                    TP0.3MM                      1.2954       1.9812       90       1.2954    1.9812    
TopLayer    J4         100K               "3 pads for QS pins configuration (soldering needed)"                                                        QS_JUMPER                    3.0734       2.4068       180      3.0734    2.4068    
TopLayer    J3         100K               "3 pads for QS pins configuration (soldering needed)"                                                        QS_JUMPER                    3.4290       -2.5182      90       3.4290    -2.5182   
TopLayer    R28        10K                Resistor                                                                                                     R_0201                       4.3180       -2.5114      90       4.3180    -2.5114   
TopLayer    R25        10K                Resistor                                                                                                     R_0201                       3.8862       -2.5189      90       3.8862    -2.5189   
TopLayer    R23        0R                 Resistor                                                                                                     R_0201                       7.2136       0.0000       360      7.2136    0.0000    
TopLayer    R5         0R                 Resistor                                                                                                     R_0201                       0.7112       2.3668       90       0.7112    2.3668    
TopLayer    U1         BGT60LTR11AiP      "BGT60LTR11AiP, BGA 42 pins"                                                                                 BGA42N50P13X7_670X330X56_NEW 0.0000       0.0000       270      0.0000    0.0000    
TopLayer    C4         100nF              Capacitor                                                                                                    C_0201                       7.0326       -2.7113      270      7.0326    -2.7113   
TopLayer    P          "Red LED 0201"     XZMER155W                                                                                                    LED_0201                     -8.5344      -2.1971      180      -8.5344   -2.1971   
TopLayer    R11        2k2                Resistor                                                                                                     R_0201                       8.5966       2.2098       180      8.5966    2.2098    
TopLayer    R1         1k                 Resistor                                                                                                     R_0201                       -8.5344      -1.3081      360      -8.5344   -1.3081   
TopLayer    L3         MMZ0603S121HT000   MMZ0603S121HT000                                                                                             R_0201                       8.3312       -2.6670      90       8.3312    -2.6670   
TopLayer    C14        5.6nF              Capacitor                                                                                                    C_0201                       -0.6618      -2.6547      90       -0.6618   -2.6548   
