========================================================================================================================
File Design Information:

Date:       13.08.20
Time:       12:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                   Layer       Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                         Ref-X(mm) Ref-Y(mm) 
P43        DF40HC(3.5)-20DS-0.4V(51) BottomLayer CON-F-SMD-DF40C-20DS-0.4V(51)    34,2900      6,7000       180      "Board-to-FPC Connector, 0.4mm pitch, Female"                                       34,2900   6,7000    
P42        DF40HC(3.5)-20DS-0.4V(51) BottomLayer CON-F-SMD-DF40C-20DS-0.4V(51)    34,2900      18,7000      180      "Board-to-FPC Connector, 0.4mm pitch, Female"                                       34,2900   18,7000   
U41        SN74AVC4T245RSVR          TopLayer    SN74AVC4T245RSVR-Hatvan          31,5000      12,5000      180      "Dual-Bit Bus Transceiver with Configurable Voltage Translation and 3-State Output" 31,5000   12,5000   
L49        MMZ1005B601CT000          BottomLayer 0402_L_Axon                      25,9000      19,1000      360      "SMD Ferrite Bead"                                                                  25,9000   19,1000   
L40        MMZ1005B601CT000          TopLayer    0402_L_Axon                      25,9080      19,1000      360      "SMD Ferrite Bead"                                                                  25,9080   19,1000   
U49        SN74AVC4T245RSVR          BottomLayer SN74AVC4T245RSVR-Hatvan          35,7000      12,5000      180      "Dual-Bit Bus Transceiver with Configurable Voltage Translation and 3-State Output" 35,7000   12,5000   
U44        SN74AVC4T245RSVR          TopLayer    SN74AVC4T245RSVR-Hatvan          35,7000      12,5000      180      "Dual-Bit Bus Transceiver with Configurable Voltage Translation and 3-State Output" 35,7000   12,5000   
U47        SN74AVC4T245RSVR          BottomLayer SN74AVC4T245RSVR-Hatvan          31,5000      12,5000      180      "Dual-Bit Bus Transceiver with Configurable Voltage Translation and 3-State Output" 31,5000   12,5000   
R57        10k                       BottomLayer 0402_R_Axon                      29,5000      6,2000       360      Resistor                                                                            29,5000   6,2000    
R56        10k                       BottomLayer 0402_R_Axon                      29,5000      7,2000       360      Resistor                                                                            29,5000   7,2000    
R55        10k                       BottomLayer 0402_R_Axon                      29,5000      8,2000       360      Resistor                                                                            29,5000   8,2000    
R54        10k                       BottomLayer 0402_R_Axon                      29,5000      9,2000       360      Resistor                                                                            29,5000   9,2000    
